"name","dateEstablished","city","country","longitude","latitude"
"Dairy Queen Grill Chill","2019","Decatur","US",-87.01125,34.56784
"Subway","2017","Enterprise","US",-85.85576,31.33653
"Wok N Roll","2018","Florence","US",-87.68111,34.81771
"Hardee's","2019","Dothan","US",-85.40099,31.18926
"Burger King","2019","Dothan","US",-85.36109,31.21224
"Sonic Drive-In","2019","Dothan","US",-85.35983,31.21805
"Moe's Southwest Grill","2017","Tuscaloosa","US",-87.55278,33.21097
"Burger King","2016","Tuscaloosa","US",-87.52549,33.17378
"Moe's Southwest Grill","2019","Tuscaloosa","US",-87.52625,33.18941
"Sonic Drive-In","2018","Auburn","US",-85.49903,32.57246
"Firehouse Subs","2017","Athens","US",-86.96264,34.7881
"Subway","2017","Athens","US",-86.9526,34.80086
"Domino's Pizza","2017","Oxford","US",-85.80492,33.61477
"Jack's","2019","Oxford","US",-85.82607,33.61567
"Jimmy John's","2018","Cullman","US",-86.84606,34.17945
"Jack's","2015","Cullman","US",-86.84812,34.15977
"Subway","2016","Cullman","US",-86.83748,34.15758
"Panda Express","2017","Cullman","US",-86.86648,34.20643
"Subway","2016","Cullman","US",-86.80401,34.19863
"Rally's","2015","Cullman","US",-86.84848,34.18417
"Sonic Drive-In","2016","Cullman","US",-86.83473,34.15759
"Captain D's Seafood Kitchen","2019","Birmingham","US",-86.687775,33.610855
"McDonald's","2016","Pinson","US",-86.68257,33.69535
"Auntie Anne's Soft Pretzels","2019","Leeds","US",-86.59819,33.54722
"Sonic Drive-In","2016","Birmingham","US",-86.68913,33.60603
"Subway","2017","Birmingham","US",-86.6857,33.5328
"Rally's","2015","Birmingham","US",-86.72863,33.56268
"Moe's Southwest Grill","2014","Birmingham","US",-86.80475,33.50771
"Moe's Southwest Grill","2015","Birmingham","US",-86.77455,33.48011
"Chipotle Mexican Grill","2017","Birmingham","US",-86.78873,33.439
"Full Moon Bar-B-Que","2018","Fultondale","US",-86.80459,33.60767
"Church's Chicken","2015","Birmingham","US",-86.88269,33.47015
"Church's Chicken","2017","Birmingham","US",-86.89299,33.505974
"Milo's Hamburgers","2017","Birmingham","US",-86.89783,33.51331
"McDonald's","2017","Birmingham","US",-86.89299,33.505974
"Subway","2019","Mc Calla","US",-87.00037,33.32988
"Hardee's","2019","Birmingham","US",-86.92278,33.45292
"Pizza Hut","2017","Birmingham","US",-86.81963,33.4648
"Pizza Hut","2015","Bessemer","US",-86.97014,33.39403
"Guthrie's","2016","Birmingham","US",-86.70704,33.53439
"Jimmy John's","2017","Birmingham","US",-86.80715,33.51717
"Moe's Southwest Grill","2017","Daphne","US",-87.89833,30.59977
"Firehouse Subs","2016","Daphne","US",-87.90273,30.65503
"Subway","2017","Attalla","US",-86.09424,33.99707
"Jack's Family Restaurants","2016","Gadsden","US",-85.94225,33.99989
"Jack's","2019","Gadsden","US",-86.00436,33.98514
"Jack's Family Restaurants","2019","Gadsden","US",-86.04354,34.02239
"Subway","2016","Gadsden","US",-86.02192,33.91784
"Jack's","2019","Gadsden","US",-85.99391,34.00841
"Pizza Hut","2017","Jacksonville","US",-85.76127,33.80691
"Chick-fil-A","2019","Auburn","US",-85.48642,32.60692
"Cook-Out","2019","Huntsville","US",-86.59461,34.76369
"Jack's","2017","Huntsville","US",-86.62714,34.73679
"Terrys Pizza","2017","Huntsville","US",-86.54042,34.66134
"Rolands Cajun Catering","2016","Huntsville","US",-86.59498,34.74754
"McAlister's Deli","2019","Huntsville","US",-86.5696,34.69281
"Jason's Deli","2016","Huntsville","US",-86.67781,34.743492
"Jimmy John's","2016","Huntsville","US",-86.5415,34.67589
"McAlister's Deli","2017","Huntsville","US",-86.67318,34.74458
"Quiznos","2016","Huntsville","US",-86.63676,34.73549
"Jack's Family Restaurants","2017","Huntsville","US",-86.75312,34.66429
"Dairy Queen","2018","Huntsville","US",-86.60791,34.69772
"Hardee's","2016","Huntsville","US",-86.57662,34.73907
"Checkers","2016","Huntsville","US",-86.59055,34.72041
"Sonic Drive-In","2017","Huntsville","US",-86.61021,34.71197
"Subway","2016","Dayton","US",-84.1234,39.7019
"Pizza Hut","2015","Indianapolis","US",-86.0105,39.8265
"McDonald's","2019","Montgomery","US",-86.32813,32.32548
"Panera Bread","2017","Montgomery","US",-86.1653,32.36049
"Mellow Mushroom","2019","Mobile","US",-88.17268,30.68957
"Moe's Southwest Grill","2015","Mobile","US",-88.22597,30.68177
"McDonald's","2019","Mobile","US",-88.15908,30.6487
"Sonic Drive-In","2019","Mobile","US",-88.13914,30.63964
"Burger King","2018","Mobile","US",-88.17015,30.59223
"Sonic Drive-In","2019","Mobile","US",-88.13297,30.67092
"Fat Wong Chinese Food To Go","2016","Modesto","US",-120.9367,37.6386
"Arby's","2017","Birmingham","US",-86.70878,33.42977
"Chick-fil-A","2017","Birmingham","US",-86.70769,33.42794
"Chipotle Mexican Grill","2017","Birmingham","US",-86.69893,33.42237
"Sol's Sandwich Shop and Deli","2018","Birmingham","US",-86.80574,33.51327
"Mellow Mushroom","2017","Birmingham","US",-86.79597,33.49907
"McDonald's","2019","North Little Rock","US",-92.2614,34.7556
"Chipotle Mexican Grill","2017","Surprise","US",-112.3591,33.6383
"Fisherman's Cove","2019","Nashville","US",-93.82483,33.97157
"Subway","2016","Crown Point","US",-87.2392,41.4205
"Burger King","2017","Chicago","US",-87.6876,41.9307
"Sonic Drive-In","2017","Winfield","US",-87.84115,33.93823
"Burger King","2019","Gainesville","US",-82.3836,29.6179
"Domino's Pizza","2019","Warrior","US",-86.80712,33.81765
"Burger King","2019","Sheridan","US",-92.39836,34.28972
"Taco Bell","2016","Van Nuys","US",-118.4719,34.2208
"Pizza Pro","2019","Trumann","US",-90.54888,35.67839
"Whataburger","2019","Goodyear","US",-112.3655,33.4854
"Taco Bell","2018","Alpharetta","US",-84.2869,34.0498
"Jimmy John's","2016","Clinton Township","US",-82.9726,42.6121
"Dairy Queen","2016","New Lebanon","US",-84.4101,39.7459
"Subway","2015","Gary","US",-87.3374,41.591
"Subway","2017","Mishawaka","US",-86.1873,41.6932
"Pizza Hut","2016","Covington","US",-84.5454,39.0948
"Pizza Hut","2015","Indianapolis","US",-86.082,39.7013
"Panda Express","2015","Hillside","US",-87.8829,41.868
"Hardee's","2015","Crawfordville","US",-84.3756,30.1784
"KFC","2019","Gainesville","US",-82.3397,29.6858
"Burger King","2017","Tucson","US",-110.9182,32.1784
"McDonald's","2019","Brinkley","US",-91.1979,34.90503
"Wendy's","2019","Highland","US",-87.461,41.5372
"Subway","2017","Wailuku","US",-156.5008,20.8879
"Subway","2015","Chatham","US",-89.7046,39.6766
"Domino's Pizza","2016","Champaign","US",-88.2749,40.1278
"Burger King","2019","Dardanelle","US",-93.16306,35.22098
"Taco Bell","2019","Crossett","US",-91.96268,33.13505
"Taco Bell","2019","Los Angeles","US",-118.3088,34.0883
"Subway","2019","Calico Rock","US",-92.13006,36.12925
"KFC","2019","Little Rock","US",-92.4044,34.7543
"Subway","2017","Tucson","US",-110.8469,32.3088
"Subway","2019","Memphis","US",-90.04758,35.14919
"Sonic Drive-In","2019","Stamps","US",-93.4851,33.36558
"Chick-Fil-A","2017","Hot Springs National Park","US",-93.07936,34.4484
"Arby's","2019","Clarksville","US",-93.46147,35.45033
"Subway","2019","Van Buren","US",-94.35731,35.46017
"McDonald's","2017","Blue Island","US",-87.681,41.6768
"Taco Bell","2018","Sherwood","US",-92.18308,34.83044
"Tonelli's Takeout","2016","Lafayette Hill","US",-75.2593,40.0914
"Popeyes Louisiana Kitchen","2019","Jacksonville","US",-92.13043,34.881985
"Checkers","2019","Tallahassee","US",-84.225,30.4598
"Taco Bell","2015","Naples","US",-81.6891,26.1553
"Subway","2019","El Dorado","US",-92.66566,33.23627
"Jimmy John's","2016","Tampa","US",-82.5054,27.9631
"Subway","2017","Little Rock","US",-92.27566,34.74404
"Popeyes Louisiana Kitchen","2019","North Little Rock","US",-92.21519,34.78954
"Taco Bell","2019","Springdale","US",-94.11205,36.16773
"Long John Silver's","2019","Springdale","US",-94.14027,36.17447
"McDonald's","2019","Pine Bluff","US",-92.06145,34.19298
"Pizza Hut","2019","Fayetteville","US",-94.16417,36.05859
"Sonic Drive-In","2019","Fayetteville","US",-94.14768,36.13308
"Taco Bell","2017","Norco","US",-117.5631,33.8993
"McDonald's","2015","Tucson","US",-110.9788,32.2879
"Panera Bread","2017","Grandville","US",-85.7557,42.8793
"Steak 'n Shake","2019","Jonesboro","US",-90.67811,35.80472
"Wings To Go","2019","Jonesboro","US",-90.67015,35.81659
"Subway","2017","Valparaiso","US",-87.0394,41.4671
"Taco Bell","2015","Anderson","US",-82.6475,34.4803
"McDonald's","2017","Joliet","US",-88.1196,41.5232
"White Castle","2017","Des Plaines","US",-87.8851,42.0455
"Taco Bell","2019","Little Rock","US",-92.32265,34.75209
"Taco Bell","2019","Little Rock","US",-92.40663,34.7111
"Taco Bueno","2019","Little Rock","US",-92.37497,34.75252
"Taco Bell","2019","Little Rock","US",-92.38021,34.76077
"Sonic Drive-In","2019","Russellville","US",-93.12365,35.35544
"Subway","2016","Melbourne","US",-80.6299,28.1294
"Manhattan Subs & Gyros","2016","Ocala","US",-82.1514,29.1968
"Burger King","2019","Texarkana","US",-94.04323,33.46667
"Carl's Jr.","2016","Hudson","US",-104.6487,40.0775
"Andy's Frozen Custard","2019","Conway","US",-92.46013,35.06969
"Pizza Pro","2017","Wickes","US",-94.340256,34.308807
"Kfc","2016","West Helena","US",-90.65532,34.5542
"El Pollo Loco","2016","San Bernardino","US",-117.2617,34.067
"McDonald's","2019","Walnut Ridge","US",-90.95494,36.07314
"McDonald's","2019","Athens","US",-86.9519,34.8037
"Popeyes Louisiana Kitchen","2019","Bethesda","US",-77.14688,39.02284
"Popeyes Louisiana Kitchen","2019","Hyattsville","US",-76.96881,38.95171
"Dragon China","2016","Vandalia","US",-84.1809,39.8926
"Charlene's Kitchen","2019","Alexandria","US",-77.05471,38.80626
"Taco Bell","2016","Hobart","US",-87.2369,41.5511
"Burger King","2016","Hammond","US",-87.462,41.588
"McDonald's","2015","Rockford","US",-89.0541,42.2597
"KFC","2016","Berwyn","US",-87.779,41.8511
"Subway","2017","Milton","US",-122.29538,47.25103
"Subway","2019","Enumclaw","US",-121.97502,47.19938
"Domino's Pizza","2019","Enumclaw","US",-121.98932,47.20153
"Domino's Pizza","2015","Milton","US",-122.29538,47.25103
"Orange Julius","2017","Puyallup","US",-122.29609,47.15782
"Moe's Southwest Grill","2017","Port Saint Lucie","US",-80.3928,27.3197
"McDonald's","2015","Falls Church","US",-77.1249,38.84817
"McDonald's","2016","Alexandria","US",-77.112,38.8434
"BLIMPIE","2019","Washington","US",-77.02303,38.89981
"Five Guys Burgers Fries","2019","Mc Lean","US",-77.22138,38.91792
"McDonald's","2019","Arlington","US",-77.12625,38.89635
"Pizza Hut","2019","Mount Airy","US",-77.16395,39.36273
"Steak 'n Shake","2018","Clermont","US",-81.711,28.546
"Burger King","2017","Front Royal","US",-78.1879,38.9118
"SUBWAY","2017","Dayton","US",-84.2124,39.6305
"McDonald's","2017","West Lafayette","US",-86.9176,40.4529
"Dairy Queen Grill & Chill","2019","Delphi","US",-86.6808,40.5833
"Subway","2017","Alexandria","US",-77.13509,38.77326
"Subway","2017","College Park","US",-76.94935,38.98424
"Subway","2019","Arlington","US",-77.12586,38.89687
"Subway","2019","Washington","US",-76.97829,38.94556
"Subway","2019","Brentwood","US",-76.95186,38.9344
"Domino's Pizza","2019","Silver Spring","US",-77.00393,38.99845
"Chipotle Mexican Grill","2019","Burke","US",-77.32031,38.7987
"Domino's Pizza","2017","Linthicum Heights","US",-76.68276,39.19261
"Domino's Pizza","2016","Great Falls","US",-77.30829,39.003895
"Chipotle Mexican Grill","2019","Centreville","US",-77.4382,38.82824
"Chipotle Mexican Grill","2019","Alexandria","US",-77.12099,38.814873
"Chipotle Mexican Grill","2019","Lorton","US",-77.22071,38.70169
"Chipotle Mexican Grill","2019","Vienna","US",-77.2196,38.90606
"California Tortilla","2019","Washington","US",-77.01721,38.840054
"Five Guys Burgers Fries","2019","Washington","US",-77.02434,38.88415
"Potbelly Sandwich Works","2019","Washington","US",-77.02434,38.88415
"Potbelly Sandwich Works","2019","Washington","US",-77.02243,38.90001
"McDonald's","2019","Rincon","US",-81.2304,32.2771
"We The Pizza Crystal City","2019","Arlington","US",-77.04991,38.85524
"Pizza Hut","2015","Deerfield Beach","US",-80.1262,26.3169
"Pizza Hut","2016","West Palm Beach","US",-80.0911,26.707
"Mountain Mike's Pizza","2016","Merced","US",-120.4518,37.2951
"McDonald's","2016","South Gate","US",-118.2115,33.9451
"Subway","2016","Arlington","US",-89.7363,35.2224
"Jimmy John's","2017","Saint Charles","US",-90.6338,38.7402
"Subway","2016","Ocala","US",-82.0666,29.2092
